Designator,Footprint,Quantity,Value,LCSC Part #
MX1,MXOnly-1U-Hotswap,1,1u,
MX2,MXOnly-1U-Hotswap,1,1u,
MX3,MXOnly-1U-Hotswap,1,1u,
MX4,MXOnly-1U-Hotswap,1,1u,
MX5,MXOnly-1U-Hotswap,1,1u,
MX6,MXOnly-1U-Hotswap,1,1u,
MX7,MXOnly-1U-Hotswap,1,1u,
MX9,MXOnly-1U-Hotswap,1,1u,
MX10,MXOnly-1U-Hotswap,1,1u,
MX11,MXOnly-1U-Hotswap,1,1u,
MX12,MXOnly-1U-Hotswap,1,1u,
MX13,MXOnly-1U-Hotswap,1,1u,
MX14,MXOnly-2U-Hotswap,1,2u,
MX16,MXOnly-1.5U-Hotswap,1,1.5u,
MX17,MXOnly-1U-Hotswap,1,1u,
MX18,MXOnly-1U-Hotswap,1,1u,
MX19,MXOnly-1U-Hotswap,1,1u,
MX20,MXOnly-1U-Hotswap,1,1u,
MX21,MXOnly-1U-Hotswap,1,1u,
MX22,MXOnly-1U-Hotswap,1,1u,
MX23,MXOnly-1U-Hotswap,1,1u,
MX24,MXOnly-1U-Hotswap,1,1u,
MX25,MXOnly-1U-Hotswap,1,1u,
MX26,MXOnly-1U-Hotswap,1,1u,
MX27,MXOnly-1U-Hotswap,1,1u,
MX28,MXOnly-1U-Hotswap,1,1u,
MX29,MXOnly-1.5U-Hotswap,1,1.5u,
MX30,MXOnly-1U-Hotswap,1,1u,
MX31,MXOnly-1.75U-Hotswap,1,1.75u,
MX32,MXOnly-1U-Hotswap,1,1u,
MX33,MXOnly-1U-Hotswap,1,1u,
MX34,MXOnly-1U-Hotswap,1,1u,
MX35,MXOnly-1U-Hotswap,1,1u,
MX36,MXOnly-1U-Hotswap,1,1u,
MX37,MXOnly-1U-Hotswap,1,1u,
MX38,MXOnly-1U-Hotswap,1,1u,
MX39,MXOnly-1U-Hotswap,1,1u,
MX40,MXOnly-1U-Hotswap,1,1u,
MX41,MXOnly-1U-Hotswap,1,1u,
MX42,MXOnly-1U-Hotswap,1,1u,
MX43,MXOnly-2.25U-Hotswap,1,2.25u,
MX44,MXOnly-1U-Hotswap,1,1u,
MX45,MXOnly-2.25U-Hotswap,1,2.25u,
MX46,MXOnly-1U-Hotswap,1,1u,
MX47,MXOnly-1U-Hotswap,1,1u,
MX48,MXOnly-1U-Hotswap,1,1u,
MX49,MXOnly-1U-Hotswap,1,1u,
MX50,MXOnly-1U-Hotswap,1,1u,
MX51,MXOnly-1U-Hotswap,1,1u,
MX52,MXOnly-1U-Hotswap,1,1u,
MX53,MXOnly-1U-Hotswap,1,1u,
MX54,MXOnly-1U-Hotswap,1,1u,
MX55,MXOnly-1U-Hotswap,1,1u,
MX56,MXOnly-1.75U-Hotswap,1,1.75u,
MX57,MXOnly-1U-Hotswap,1,1u,
MX63,MXOnly-1.25U-Hotswap,1,1.25u,
MX65,MXOnly-1U-Hotswap,1,1u,
MX67,MXOnly-1U-Hotswap,1,1u,
MX64,MXOnly-1.25U-Hotswap,1,1.25u,
MX8,MXOnly-1U-Hotswap,1,1u,
MX15,MXOnly-1U-Hotswap,1,1u,
MX59,MXOnly-1.25U-Hotswap,1,1.25u,
MX60,MXOnly-1.25U-Hotswap,1,1.25u,
MX61,MXOnly-1.25U-Hotswap,1,1.25u,
MX62,MXOnly-6.25U-Hotswap-ReversedStabilizers,1,6.25u,
MX66,MXOnly-1U-Hotswap,1,1u,
J2,ISP,1,AVR-ISP-6,
MX68,MXOnly-1.5U-Hotswap,1,1.5u,
MX69,MXOnly-1U-Hotswap,1,1U,
MX70,MXOnly-1.5U-Hotswap,1,1.5u,
MX71,MXOnly-7U-Hotswap,1,7U,
MX72,MXOnly-1.5U-Hotswap,1,1.5u,
1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
20,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
21,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
40,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
41,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
60,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
61,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
19,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
22,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
39,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
42,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
59,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
62,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
18,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
23,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
38,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
43,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
58,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
63,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D89,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
17,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D91,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
37,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
44,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
57,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
64,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
25,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
36,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
45,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
56,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
65,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
15,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
26,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
35,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
46,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
55,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
66,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
7,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
14,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
27,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
34,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
47,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
54,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
67,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
8,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
13,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
28,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
33,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
48,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
53,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
9,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
12,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
29,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
32,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
