Designator,Mid X,Mid Y,Rotation,Layer
MX1,9.0,-9.0,0.0,top
MX2,28.05,-9.0,0.0,top
MX3,47.1,-9.0,0.0,top
MX4,66.15,-9.0,0.0,top
MX5,85.2,-9.0,0.0,top
MX6,104.25,-9.0,0.0,top
MX7,123.3,-9.0,0.0,top
MX9,161.4,-9.0,0.0,top
MX10,180.45,-9.0,0.0,top
MX11,199.5,-9.0,0.0,top
MX12,218.55,-9.0,0.0,top
MX13,237.6,-9.0,0.0,top
MX14,266.175,-9.0,0.0,top
MX16,13.7625,-28.05,0.0,top
MX17,37.575,-28.05,0.0,top
MX18,56.625,-28.05,0.0,top
MX19,75.675,-28.05,0.0,top
MX20,94.725,-28.05,0.0,top
MX21,113.775,-28.05,0.0,top
MX22,132.825,-28.05,0.0,top
MX23,151.875,-28.05,0.0,top
MX24,170.925,-28.05,0.0,top
MX25,189.975,-28.05,0.0,top
MX26,209.025,-28.05,0.0,top
MX27,228.075,-28.05,0.0,top
MX28,247.125,-28.05,0.0,top
MX29,270.92148,-28.04922,0.0,top
MX30,294.75,-28.05,0.0,top
MX31,16.14375,-47.1,0.0,top
MX32,42.3375,-47.1,0.0,top
MX33,61.3875,-47.1,0.0,top
MX34,80.4375,-47.1,0.0,top
MX35,99.4875,-47.1,0.0,top
MX36,118.5375,-47.1,0.0,top
MX37,137.5875,-47.1,0.0,top
MX38,156.6375,-47.1,0.0,top
MX39,175.6875,-47.1,0.0,top
MX40,194.7375,-47.1,0.0,top
MX41,213.7875,-47.1,0.0,top
MX42,232.8375,-47.1,0.0,top
MX43,263.79375,-47.1,0.0,top
MX44,294.75,-47.1,0.0,top
MX45,20.90625,-66.15,0.0,top
MX46,51.8625,-66.15,0.0,top
MX47,70.9125,-66.15,0.0,top
MX48,89.9625,-66.15,0.0,top
MX49,109.0125,-66.15,0.0,top
MX50,128.0625,-66.15,0.0,top
MX51,147.1125,-66.15,0.0,top
MX52,166.1625,-66.15,0.0,top
MX53,185.2125,-66.15,0.0,top
MX54,204.2625,-66.15,0.0,top
MX55,223.3125,-66.15,0.0,top
MX56,249.50625,-66.15,0.0,top
MX57,275.7,-66.15,0.0,top
MX63,201.88125,-85.2,0.0,top
MX65,256.65,-85.2,0.0,top
MX67,294.75,-85.2,0.0,top
MX64,225.69375,-85.2,0.0,top
MX8,142.35,-9.0,0.0,top
MX15,294.75,-9.0,0.0,top
MX59,11.38125,-85.2,0.0,top
MX60,35.19375,-85.2,0.0,top
MX61,59.00625,-85.2,0.0,top
MX62,130.44375,-85.2,0.0,top
MX66,275.75,-85.2,0.0,top
J2,160.48736,-66.22796,0.0,top
MX68,13.75918,-85.19922,180.0,top
MX69,37.57676,-85.19668,180.0,top
MX70,61.39434,-85.20684,180.0,top
MX71,142.35684,-85.19668,180.0,top
MX72,223.32188,-85.20176,180.0,top
1,16.26362,-90.06332,0.0,top
20,88.4682,-71.9201,180.0,top
21,69.40804,-71.93788,180.0,top
40,245.75516,-33.5661,180.0,top
41,226.6696,-33.55594,180.0,top
60,143.8148,-13.52042,0.0,top
61,163.08832,-13.52042,0.0,top
2,37.46754,-87.71636,90.0,top
19,107.75188,-71.90994,180.0,top
22,50.32248,-71.95566,180.0,top
39,269.3924,-33.58642,180.0,top
42,207.73136,-33.5407,180.0,top
59,124.74448,-13.53058,0.0,top
62,182.1434,-13.54074,0.0,top
3,61.65342,-87.72652,90.0,top
18,126.7968,-71.93534,180.0,top
23,19.29384,-71.9455,180.0,top
38,293.23284,-33.58642,180.0,top
43,188.68136,-33.51022,180.0,top
58,105.84688,-13.59154,0.0,top
63,201.07656,-13.56614,0.0,top
D89,131.94284,-90.02522,0.0,top
17,145.73504,-71.9709,180.0,top
D91,17.63268,-51.95062,0.0,top
37,296.28084,-51.94046,0.0,top
44,169.40276,-33.5153,180.0,top
57,86.90864,-13.56614,0.0,top
64,220.1418,-13.56614,0.0,top
5,201.74712,-88.44026,90.0,top
25,43.89628,-51.9303,0.0,top
36,265.34364,-51.94554,0.0,top
45,150.33752,-33.52546,180.0,top
56,67.84848,-13.54582,0.0,top
65,239.22228,-13.55598,0.0,top
6,227.42398,-90.04554,0.0,top
15,183.70296,-71.89724,180.0,top
26,62.87008,-51.92522,0.0,top
35,234.45216,-51.94554,0.0,top
46,131.43992,-33.58134,180.0,top
55,48.56988,-13.54582,0.0,top
66,267.6652,-13.59154,0.0,top
7,258.10972,-90.04554,0.0,top
14,202.98664,-71.8947,180.0,top
27,82.14868,-51.92014,0.0,top
34,215.38184,-51.94554,0.0,top
47,112.4966,-33.55086,180.0,top
54,29.51988,-13.5509,0.0,top
67,296.48404,-13.6017,0.0,top
8,277.05812,-90.07094,0.0,top
13,222.0468,-71.90994,180.0,top
28,101.20884,-51.94554,0.0,top
33,196.43852,-51.92014,0.0,top
